编号,课件名称,授课人,职务,课时(分),格式,课程简介,制作时间
"GC00B0115075_1601","京津冀协同发展背景下的生态环境问题研究（上）","宋强","北京市环境保护科学院院长",50,"精品三分屏","本课程是《京津冀协同发展背景下的生态环境问题研究》系列课程的上半部分，由北京市环境保护科学院院长宋强主讲，主要内容有：一、有关生态环境问题的规律性认识；二、京津冀区域生态环境现状。",2015.7
"GC00B0215075_1601","京津冀协同发展背景下的生态环境问题研究（下）","宋强","北京市环境保护科学院院长",50,"精品三分屏","本课程是《京津冀协同发展背景下的生态环境问题研究》系列课程的下半部分，由北京市环境保护科学院院长宋强主讲，主要内容有：京津冀地区面临的环境发展形势；协调发展中生态环境如何率先突破。",2015.7
"GC00I0116035_1604","坚持绿色发展 建设生态文明","钱俊生","中央党校科技哲学教研室主任、教授",68,"精品三分屏","本课程由中央党校科技哲学教研室主任、教授钱俊生主讲，主要内容有：一、什么是绿色发展；二、为什么要提出绿色发展；三、如何实现绿色发展。",2016.3
"GC00N0116055_1606","绿色发展和环境保护","叶文虎","北京大学中国持续发展研究中心主任、教授",29,"精品三分屏","本课程由北京大学中国持续发展研究中心主任、教授叶文虎主讲，主要内容有：一、什么是绿色发展；二、绿水青山就是金山银山；三、转变经济发展方式，把绿水青山变成金山银山。",2016.5
"GC00I0216055_1606","绿色发展：改善生态环境","郭兆晖","中央党校经济学部副教授",60,"精品三分屏","本课程由中央党校经济学部副教授郭兆晖主讲，主要内容有：一、如何在经济新常态下落实绿色发展；二、使市场在资源配置中起决定性作用：落实绿色发展；三、以要素市场化为核心的绿色发展改革；四、绿色发展市场化。",2016.5
"GC00N0117025_1702","绿色发展理念引领生态文明建设新路径","杨秀萍","南开大学滨海学院马列教研室副教授",42,"精品三分屏","本课程由南开大学滨海学院马列教研室副教授杨秀萍主讲，主要内容有：一、坚持绿色发展，树立“尊重自然、顺应自然、保护自然”的生态理念；二、坚持绿色发展，确立“以人民为中心”的价值取向；三、坚持绿色发展，探索“绿色发展、循环发展、低碳发展”的实现途径；四、坚持绿色发展，营造“风清气正”的政治生态环境；五、坚持绿色发展，确立“源头严防、过程严管、后果严惩”的制度体系。",2017.2
"GC00N0117095_1709","雾霾杀手的警示——弃竭泽而渔，举绿色发展（上）","刘治彦","中国社会科学院城市发展与环境研究所研究员",52,"精品三分屏","本课程是《雾霾杀手的警示——弃竭泽而渔，举绿色发展》系列课程的上部，由中国社会科学院城市发展与环境研究所研究员刘治彦主讲，主要内容包括：一、雾霾杀手的警示——竭泽而渔；二、推进绿色发展的战略布局。",2017.9
"GC00N0217095_1709","雾霾杀手的警示——弃竭泽而渔，举绿色发展（下）","刘治彦","中国社会科学院城市发展与环境研究所研究员",43,"精品三分屏","本课程是《雾霾杀手的警示——弃竭泽而渔，举绿色发展》系列课程的下部，由中国社会科学院城市发展与环境研究所研究员刘治彦主讲，主要内容包括：二、推进绿色发展的战略布局；三、推进绿色发展的基本路径。",2017.9
"GC00I0317095_1709","我国的绿色发展战略","郭兆晖","中央党校经济学教研部副教授",59,"精品三分屏","本课程由中央党校经济学教研部副教授郭兆晖主讲，主要内容包括： 一、优化生态空间布局；二、建设气候适应型社会；三、建设资源节约型社会；四、建设环境友好型社会；五、保护和修复生态系统。",2017.9
"GC00I0417095_1709","公务员率先践行绿色发展","郭兆晖","中央党校经济学教研部副教授",48,"精品三分屏","本课程由中央党校经济学教研部副教授郭兆晖主讲，主要内容包括：一、公务员如何带头树立绿色发展理念；二、公务员在履职履责中贯彻绿色发展理念；三、公务员要规范公务行为；四、公务员在日常生活中要作出表率；五、公务员要推广文明健康的生活方式。",2017.9
"GC00A0118055_1806","《生态环境损害赔偿制度改革方案》解读（上）","於方","生态环境部环境规划院环境风险与损害鉴定评估研究中心主任",45,"精品三分屏","本课程是“《生态环境损害赔偿制度改革方案》解读”系列课程的上半部分，由生态环境部环境规划院环境风险与损害鉴定评估研究中心主任於方主讲，重点讲述了《生态环境损害赔偿制度改革方案》的总体要求和目标；工作原则；适用范围；工作内容；保障措施。",2018.5
"GC00A0218055_1806","《生态环境损害赔偿制度改革方案》解读（下）","於方","生态环境部环境规划院环境风险与损害鉴定评估研究中心主任",60,"精品三分屏","本课程是“《生态环境损害赔偿制度改革方案》解读”系列课程的下半部分，由生态环境部环境规划院环境风险与损害鉴定评估研究中心主任於方主讲，主要内容有：二、生态环境损害赔偿工作要点分析；三、环境损害鉴定评估工作的进展。",2018.5
"GC00A0318055_1806","完善绿色消费的制度设计，扩大生态产品的有效和优质供给（上）","周宏春","国务院发展研究中心社会发展研究部室主任",39,"精品三分屏","本课程是《完善绿色消费的制度设计，扩大生态产品的有效和优质供给》系列课程的上半部分，由国务院发展研究中心社会发展研究部室主任周宏春主讲，主要内容有：一、绿色消费内涵及现状评价；二、共享发展理念与分享经济。",2018.5
"GC00A0418055_1806","完善绿色消费的制度设计，扩大生态产品的有效和优质供给（中）","周宏春","国务院发展研究中心社会发展研究部室主任",37,"精品三分屏","本课程是《完善绿色消费的制度设计，扩大生态产品的有效和优质供给》系列课程的第二部分，由国务院发展研究中心社会发展研究部室主任周宏春主讲，主要内容有：二、共享发展理念与分享经济；三、扩大绿色消费的制度保障。",2018.5
"GC00A0518055_1806","完善绿色消费的制度设计，扩大生态产品的有效和优质供给（下）","周宏春","国务院发展研究中心社会发展研究部室主任",43,"精品三分屏","本课程是《完善绿色消费的制度设计，扩大生态产品的有效和优质供给》系列课程的下半部分，由国务院发展研究中心社会发展研究部室主任周宏春主讲，主要内容是：三、扩大绿色消费的制度保障。",2018.5
"GC00A0118065_1807","环境保护督察的实效与典型案例解读（上）","常纪文","国务院发展研究中心资源与环境政策研究所副所长",36,"精品三分屏","本课程是《环境保护督察的实效与典型案例解读》系列课程的上半部分，由国务院发展研究中心资源与环境政策研究所副所长常纪文主讲，围绕“中央环境保护督察的理论基础”这一话题，重点阐述了以下内容：党政同责、一岗双责、失职追责是破解我国环保监管困局的一剂良方；环境保护党政同责、一岗双责、失职追责是国家治理体系的创新和发展。",2018.6
"GC00A0218065_1807","环境保护督察的实效与典型案例解读（中）","常纪文","国务院发展研究中心资源与环境政策研究所副所长",41,"精品三分屏","本课程是《环境保护督察的实效与典型案例解读》系列课程的第二部分，由国务院发展研究中心资源与环境政策研究所副所长常纪文主讲，主要内容有：一、中央环境保护督察的理论基础；二、中央环境保护督察的体制改革。",2018.6
